,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Penalty_Kicks_Made,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.1,GA,SoTA,Saves,Save%,PK_Save%,CS,CS%,Sh,SoT,SoT%,G/Sh,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Tkl,Challenges_Tkl,TklW,Tkl%,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Season,Team,Competition
21,Rémy Labeau Lascary,gp GLP,"FW,MF",19,12,1,262.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.28,,,,,,,,4.0,2.0,50.0,0.0,15.9,23.0,29.0,79.3,383.0,126.0,0.0,4.0,0.0,2.0,,2.0,5.0,0.0,0.0,3.0,3.0,50.0,2022-2023,Lens,Ligue 1
22,Ismaëlben Boura,km COM,"DF,FW",21,11,2,231.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.06,,,,,,,,5.0,2.0,40.0,0.0,28.6,47.0,64.0,73.4,670.0,236.0,0.5,6.0,5.0,9.0,83.3,4.0,8.0,3.0,0.0,1.0,2.0,33.3,2022-2023,Lens,Ligue 1
23,Adam Buksa,pl POL,"FW,MF",26,8,0,101.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,15.0,24.0,62.5,245.0,53.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,16.7,2022-2023,Lens,Ligue 1
24,Ignatius Ganago,cm CMR,FW,23,4,0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,,,,,,,,1.0,0.0,0.0,0.0,23.1,10.0,11.0,90.9,204.0,74.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,2.0,4.0,33.3,2022-2023,Lens,Ligue 1
25,Patrick Berg,no NOR,"MF,FW",24,3,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,17.0,20.0,85.0,319.0,133.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,2022-2023,Lens,Ligue 1
26,Gaël Kakuta,cd COD,FW,31,2,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,,,,,,,,1.0,0.0,0.0,0.0,29.8,12.0,16.0,75.0,172.0,14.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,100.0,2022-2023,Lens,Ligue 1
27,Steven Fortes,cv CPV,DF,30,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,1.0,3.0,33.3,15.0,11.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,50.0,2022-2023,Lens,Ligue 1
28,Nolan Bonte,fr FRA,FW,18,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,2022-2023,Lens,Ligue 1
29,Christopher Wooh,cm CMR,MF,20,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,2.0,2.0,100.0,38.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,2022-2023,Lens,Ligue 1
30,Yaya Kader Fofana,ml MLI,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Lens,Ligue 1
31,Pierre Ganiou,fr FRA,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Lens,Ligue 1
32,Yacouba Barry,fr FRA,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Lens,Ligue 1
33,Ibrahima Baldé,fr FRA,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Lens,Ligue 1
34,Adrien Louveau,fr FRA,MF,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Lens,Ligue 1
35,Yannick Pandor,km COM,GK,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2023,Lens,Ligue 1
